,sentences,raw_sentences
879,clarify   try follow troubleshoot method provide andre da costa link provide   ,"Just to clarify , have your tried following the troubleshooting methods provided by Andre Da Costa on the link you provided ? ."
880,hell ,Hell !
881,share detail issue ,Could you share with us more details about this issue ?
882,like help   ,"We 'd like to help , if we can .."
883,hello ,Hello !
884,utmost pleasure help ,It 's our utmost pleasure to help .
885,good way avoid phone scam link    let guide report scam ,The best way to avoid phone scam is in this link : https://t.co/ZycMz6l77L .. Let us guide you to report scams .
886,link provide ,On the link provided to you .
887,kindly   report tech support scam   ,"Kindly go to "" How to report tech support scams "" .."
888,get phone claiming discover nt ,I got a phone call claiming to be you but I discovered they were n’t .
889,number ,The number is +1(818)930 5703
890,try bribe ,They tried to bribe me ..
891,hi paul   face issue migrating lr catalog lightroom cc ,"Hi Paul , Are you facing issue after migrating the Lr catalog to Lightroom CC ?"
892,add new image ,Or you have added new images ?
893,update hdr merge panorama stitch come lightroom cc   ,👋 Any update for when HDR merge and Panorama stitching are coming to Lightroom CC ? .
894,like look ,We would like to look into this for you .
895,dm email address reservation code ,Please DM your email address and the reservation code .
896,stand ,We are standing by .
897,thank ,Thank you ..
898,recommend report directly console enforcement team aware ,then we 'd recommend reporting them directly via the console so that the Enforcement team is aware .
899,  ,2/2 .
900,hi ,Hi there !
901,account follow code conduct    ,If an account is not following the Code of Conduct here : https://t.co/hi59usAKGh 1/2 .
902,hey create second account ,hey if someone creates a second account
903,  play bad people high skill nt want play people consider cheat    ,so he / she can play worse people because they have a higher skill and do n’t want to play those people is that considered cheating ? ? .
904,saya nak tukar flight sbb reschedule ,saya nak tukar flight sbb reschedule .
905,book   yiunm ,booking # YIU8NM .
906,ring doorbell constantly ,my £ 180 Ring doorbell is constantly down .
907,ring doorbell camera earth ,Seems now that every Ring doorbell and camera on earth is down .
908,refund require    alternatively like return item local store   colleague happy help paul ,"Refund required .. 2/2 alternatively if you would like to return the item to your local store , my colleagues will be happy to help Paul ."
909,hi carrie   awwww   awesome ,"Hi Carrie , awwww , they 're awesome ."
910,happy halloween ,Happy Halloween .
911,mark ,Mark .
912,food quality seriously chance address cafe management ,We take food quality seriously Have you had a chance to address with cafe management ?
913,happy assist ,They 'd be happy to assist you further ..
914,guy chicken ,you guys call this chicken ?
915,,https://t.co/DzUig4ATjc .
916,happy halloween ,Happy Halloween !
917,share pic decoration costume ,Share a pic of your decorations or costume !
918,pic   overkill maybe   ,Here 's some pics of mine ( overkill maybe ? )
919,,https://t.co/X6hyMbBIo4 .
920,welcome ,You 're more than welcome !
921,make happy hear ,It makes us very happy to hear that .
922,,    .
923,happy halloween ,Happy Halloween !
924,look pumpkin donate distribution center ,Look at these pumpkins that were donated to us from the Distribution Center !
925,,https://t.co/od6OAZocLy .
926,help ,Here to help .
927,send note team connect ,Send us a note at https://t.co/ptj11JUNYu so our team can connect ..
928,happy help ,Happy to help !
929,visit link   know free food   ,Please visit this link ; https://t.co/qfimGYE4QO to know more about how to get a free food .. .@115873
930,take driver minute start move ride ,I️t took our driver over 5 minutes to start moving for our ride .
931,flight catch ,We have a flight to catch .
932,nt ride nt accept ,If they ca n’t do the ride then they should n’t accept I️t .
933,  customerservice ,# CustomerService .
934,look ,We can take a look !
935,send note team touch ,Send us a note via https://t.co/tv4psVy8sr so our team can get in touch ..
936,help ,Here to help !
937,follow   team connect right away ,Follow up here ; https://t.co/h840Iouehc and our team will connect right away ..
938,submit online request expect cancellation credit account pay ,I submitted an online request and expect a cancellation credit to my account as I would of had to pay .
939,thank   ,Thank you ! .
940,help ,Here to help !
941,send dm email address assist ,Send us a DM with your email address so we can assist ..
942,hey schedule ride cancel minute away ,Hey my scheduled ride canceled on me when he was 1 minute away .
943,cancel pay   ,If I cancel I pay $ 5 .
944,need   credit ,I need a $ 5 credit ..
945,help ,We 're here to help !
946,send dm email address follow    ubereat order receive burrito ,Send us a DM with your email address so we can follow up .. just made a $ 35 ubereats order from and did not receive my burrito .
947,contact   ,Who should I contact ? .
948,happy look   frank ,"We 'd be happy to look into this , Frank ."
949,provide email address reach review assist ,Please provide the email address you used to reach out to us so we can further review and assist ..
950,reason m try inform ur support staff debit card charge fraudulently uber account m work care   ,any reason I ’m trying to Inform ur support staff that my debit card is being charged fraudulently from another Uber account while I ’m at work and no one seems to care ? .
951,help ,We 're here to help !
952,send note   team touch   way address specific issue ,"Send us a note here , https://t.co/z33D4A8p40 and our team will be in touch .. Is there a way I can address a specific issue ?"
953,receive compensation ride report   like mention avoid route location plot correctly ,"Though i already received compensation for that ride i reported , I 'd like to mention it would 've been avoided if the route to my location was plotted correctly ."
954,map tell pass route dead end ,The map told him to pass through a route that had a dead end .
955,help ,Here to help .
956,send note team connect ,Send us a note at https://t.co/QsI1vsvcif so our team can connect ..
957,hi   jenny ,"Hi , Jenny !"
958,kindly send detail concern team assist   awful customer service   bother try contact head office   ,"Kindly send us details regarding your concern so our team can assist .. awful customer service , why bother trying to contact the head office ? ."
959,help ,Here to help !
960,contact ,Contact us here ;
961,close look ,https://t.co/uRjsQ64qLY so we can take a closer look ..
962,sorry hear trouble   jasmany ,"Sorry to hear about the trouble , Jasmany ."
963,escalate concern member team touch shortly app ,We 've escalated your concern a member of our team will be in touch shortly via in app .
964,type issue handle social medium ,These type of issues are handled off social media .
965,apologize inconvenience cause ,We apologize for any inconvenience this may have caused ..
966,big lie account run   stop lie   public lie guy tell   tell hour waiting day ,"That 's a big lie otherwise my account would be up and running , stop lying , I 'll make it public all the lies your guys have told me , been told it would only take 48 hours been waiting 5 DAYS ."
967,hey   jasmany ,"Hey there , Jasmany !"
968,member team look ,We can see that a member of our team is looking into this for you .
969,effort enhance support experience   avoid confusion follow question concern app support   nah   want app support people lie   app run   wait day   guy lie   close app cuz report driver gun vehicle   stop   facebook ,"In an effort to enhance your support experience , and to avoid further confusion we 'll be following up with any further questions or concerns you may have through in app support .. Nah , I do n't want in app support you people are lying , get my app up and running NOW , I 've been waiting for 5 days , you guys are lying , and closed my app cuz I reported another driver with a gun in his vehicles , I 'm not stopping , next is facebook ."
970,answer   report driver gun hi vehicle ,"ANSWER ME , WHY IF I REPORT ANOTHER DRIVER WITH A GUN IN HI VEHICLE"
971,account get hold          ,MY ACCOUNT GETS PUT ON HOLD ? ? ? ? ? ? ? ? .
972,definitely want close look ,We definitely want to take a closer look .
973,  policy term condition   need discuss account holder ,"However , due to our policy terms and conditions , we will need to discuss this with the account holder ."
974,message email address associate account follow directly app support ,Please message us with the email address associated with the account and we 'll follow up with her directly via in app support ..
975,message email address ,I already messaged you her email address .
976,sure mean app support   realize guy deactivate account   ,"Not sure what you mean with in app support , but do you realize you guys deactivated her account ? ."
977,help ,Here to help !
978,confirm email address phone number direct message assist ,Please confirm the email address or phone number through direct message so we can further assist .
979,wife account got charge w uber eat order place ,My wife account got charged w 2 uber eats orders we never placed .
980,call help number   min hold   tell email uber help ,"Called help number , and after 20 min hold , all we were told had to email uber help"
981,seriously   ,Seriously ? .
982,help ,We 're here to help .
983,send dm email address assist ,Send us a DM with your email address so we can assist ..
984,help ,Here to help .
985,send note team connect ,Send us a note at https://t.co/e8HVorX5rh so our team can connect ..
986,hi   eric ,"Hi , Eric ."
987,kindly visit link info    absolutely want follow right away ,Kindly visit this link for more info ; https://t.co/HULHsCQlaL. We absolutely want to follow up right away .
988,send dm email address connect ,Please send us a DM with your email address so we can connect ..
989,privacy policy able address concern social ,Due to our privacy policy we 're not able to address these concerns over social .
990,account holder   person write   contact assist ,Please have the account holder ( or the person you 're writing in for ) contact us at https://t.co/rOtqyWzf0B so we can assist them further .
991,let know question ,Please let us know if you have any other questions ..
992,friend   harsh ranjan leave phone uber cab return home ,"My friend , Harsh Ranjan left his phone in uber cab while returning home ."
993,try call phone   rang begin second come switch ,"He tried calling his phone , it rang at the beginning then after few seconds it 's coming as switched off ."
994,share driver detail trip detail ,I am sharing the driver details and trip details .
995,kindly help ,Kindly help .
996,,https://t.co/m1QNY1rSm2 .
997,definitely look ,We can definitely take a look !
998,send dm email address follow ,Send us a DM with your email address so we can follow up ..
999,help ,Here to help !
1000,send dm email address info assist ,Send us a DM with your email address with more info so we can assist ..
1001,happy help ,Happy to help !
1002,confirm email address phone number direct message   dm   team assist ,Please confirm your email address or phone number through direct message ( DM ) so our team can assist you further ..
1003,help ,Here to help !
1004,send dm email address assist ,Send us a DM with your email address so we can assist ..
1005,help ,Here to help .
1006,send note team connect ,Send us a note at https://t.co/5MN4s6W3AA so our team can connect ..
1007,help ,We 're here to help !
1008,send dm email address follow ,Send us a DM with your email address so we can follow up ..
1009,help ,Here to help !
1010,send note team connect ,Send us a note at https://t.co/fS660rQ8NQ so our team can connect ..
1011,help ,We 're here to help .
1012,send dm email address look   ,Can you please send us a DM with your email address so we can look into this ? .
1013,tell call support time hold age time ,Tell me why I 've called support four times and been on hold for ages every time ..
1014,answer point have support number ,If no one answers what 's the point of having a support number .
1015,martel   s phone manufacturer ,"Martel , who ’s the phone manufacturer ?"
1016,phone warranty expire day ,my phone warranty had expired one day .
1017,get phone w rep   austin   good customer service experience ve   ,"just got off the phone w/ a rep , Austin , can I just say that was one of the best customer service experiences I ’ve ever had ! ."
1018,forward information team   contact ,"We have forwarded your information to our team , we will be in contact with you ."
1019,good evening solomon ,Good evening Solomon .
1020,cellphone number run check line ,May we have your cellphone number to run a check on your line ?
1021,fa ,FA .
1022,sorry hear ,So sorry to hear this .
1023,send dm email address help ,Please send us a DM with your email address so we can help ..
1024,mohamme   advise return product return nappy delivery document nearest metro   superstore extra ,"Mohammed , I 'd advise returning the product returning the Nappies with your delivery documents to your nearest Metro , Superstore or Extra ."
1025,colleague able assist ,My colleagues there will be able to assist further .
1026,ty jame ,Ty James .
1027,thank online order ,Thanks this was an online order
1028,know yh nappy like month issue ,and I do n't know why but all yh nappies were like this and I have been using this for over 9 months and never has this issue .
1029,case   recommend try small size help ,"In this case , we 'd recommend trying a smaller size to see if that helps ."
1030,sorry learn leak   check refer absorbency gel ,"I 'm also sorry to learn of the leaking , can I just check that you 're referring to the absorbency gel please ?"
1031,dm   address   amp   email ,"Can you DM your full name , address & amp ; email please ?"
1032,  ,2/2 .
1033,hello ,hello
1034,want know recently bough ann online grocery order baby nappy ,i want to know recently I bough Ann online grocery order what some baby nappies in them as well
1035,nappy stay child reason half box like ,but the nappies would n't even stay on the child for some reason one half box was like that
1036,leak call contact centre ,and they were leaking so I called contact centre
1037,say nth ,and they said they ca n't do nth .
1038,hi benny   sorry delay reply ,"Hi Benny , sorry for the delay in replying !"
1039,available delivery saver customer ,They 're available now for our Delivery Saver customers :)
1040,thank emma ,Thanks Emma .
1041,area have th delivery apparently ,some areas are not having a 24th delivery apparently .
1042,actually website order ,If you can actually get onto the website to order .......
1043,  early hour   delivery saver christmas slot   early   lunch ashe   drink break ,"So when you say ' early hours ' for the delivery saver Christmas slots , just how early please , lunch in the Ashes , or first drinks break ?"
1044,cheer ,Cheers ..
1045,unable view account information twitter ,We 're unable to view any account information via Twitter .
1046,current tracking show   ,What 's the current tracking shown here : https://t.co/aaDyEz1VgE ?
1047,yeah send dm ,Yeah I sent you a DM too .
1048,email say dispatch ,Had an email saying when it had been dispatched but nothing since ..
1049,sorry arrive ,I 'm sorry that it still has n't arrived .
1050,contact look   ,Please contact us so that we can look into this together : https://t.co/hApLpMlfHN .
1051,hello   m have issue day ship order ,"hello , I ’m having an issue with a same day ship order ."
1052,help   ,Can you help me ? .
1053,like close look refund ,We 'd like to take a closer look into this refund for you .
1054,reach    jzphlab ,"Please reach us at : https://t.co / JzP7hlA23B 
  ."
1055,hey   prime day delivery arrive monday ,"Hey , why is your Prime 2 day delivery not arriving until Monday ?"
1056,holiday know   ,Is there a holiday I do n't know about ? .
1057,like team look   sanu ,"I would like someone from our team to take a look into this for you , Sanu ."
1058,reach   ,Please reach out here : https://t.co/QtC7bueYoR .
1059,yes   amazonuk refund processif ,"yes i did , but amazonuk is not doing the refund process.if"
1060,I ,they do it .i
1061,money ,will get the money .
1062,mail amazonuk time ,i mailed amazonuk so many time .
1063,nt get progresscustomer care say s billing sectionno nt get refund ,but i have nt got any progress.customer care just saying that s in the billing section.no i have nt got refund .
1064,amazonuk take money give give clear statement refund proce ,amazonuk took money without any https://t.co/w25zXi7DYp they are not giving it back nor giving clear statement of my refund proces .
1065,legacy   share prime benefit   account try join amazon household prim ,"legacy "" shared prime benefits "" account trying to join an amazon household of the prim ."
1066,account holder share echo set voice profile ,account holder to share echo and set up voice profile .
1067,definitely help ,We 're definitely here to help !
1068,reach phone   ,Please reach out to us by phone here : https://t.co/JzP7hlA23B .
1069,sorry order arrive ,I 'm sorry your order has n't arrived yet !
1070,let know receive hour ,Please let us know if you have n't received it within 48 hours .
1071,like chance look ,We 'd like another chance to look into this .
1072,reach phone chat   update ,"Please reach out by phone or chat : https://t.co/hApLpMlfHN 

 Please keep us updated ."
1073,card ,No on the card .
1074,work half time ,It works only half the time .
1075,yes usps ,Yes on USPS .
1076,delivery person wo nt deliver lbs ,They say my delivery person wo n’t deliver anything over 30 lbs .
1077,send ,just sends it back .
1078,try delete card account add ,Have you tried deleting the card from the account and re adding it ?
1079,reach usps delivery ,Have you reached out to USPS about these deliveries ?
1080,  want speak corp address issue   multiple call amazon center zero resolution promise ,https://t.co/1XyLaGkcaN. Want to speak to someone at corp to address these issues .. Multiple calls to call amazon call center with zero resolution and never a promised call back ..
1081,sorry poor experience ,Sorry for the poor experience .
1082,give account information   tell go ,"Without giving any account information , could you tell us what 's going on ?"
1083,love help ,We 'd love top help !
1084,apologise trouble cause   dm idea number alternate number elaborate concern assist ,"We apologise for trouble caused , Please DM your Idea number and alternate number also elaborate on your concern so that we can assist you further ."
1085,regard   amruta    amp   father security issue report   amp   incompetancy representative connought place   delhi ,"Regards , Amruta https://t.co/LBfZgLUt6Z. Me & amp ; my father have a security issue to report & amp ; incompetancy of your Representative from connought place , delhi ."
1086,cost rs ,That has costed us more than rs.1000 .
1087,till date suffering way idea handle dad case ,And till date we 're suffering from the way idea has handled my dad 's case .
1088,need urgent help ,Need urgent help ..
1089,yes   update ,"Yes , after the update ."
1090,phone ,I Phone 7 .
1091,get ,Got it .
1092,happen particular app feature ,Does this happen while using any particular App or feature ?
1093,let know dm ,Let us know via a DM .
1094,ll move forward ,We ’ll keep moving forward from there .
1095,,https://t.co/GDrqU22YpT.
1096,able control music iphone watch ,You should still be able to control Music on your iPhone from the watch .
1097,check user guide   ,Check out the user guide here : https://t.co/vRQnmrhVHj .
1098,music store phone like os ,But this does not show the music stored on my phone like it did in os3 .
1099,want store music phone ,I do not want to store music on my phone ..
1100,certainly want close look issue ,We certainly want to take a closer look into this issue .
1101,select follow link join dm ,Select the following link to join us in a DM and we 'll go from there .
1102,  watchos watch pointless browse music phone watch   reason buy s useless ,https://t.co/GDrqU22YpT. watchOs4 made my watch pointless Browsing music on my phone via the watch was 80 % reason for buying it now it ’s useless ..
1103,s day update phone s operating system ,It ’s been a few days since made me update my phone ’s operating system .
1104,constantly glitche   hmm m shock   ,"Now constantly glitching , hmm 🤔 I ’m shocked ! ."
1105,know important battery   amp   happy help ,We know how important your battery is & amp ; we 'll be happy to help .
1106,ios version ,Which iOS version are you using ?
1107,  issue begin   ,"Also , when did this issue begin ? ."
1108,meet dm ,Please meet with us in DM .
1109,like gather additional detail ,We 'd like to gather some additional details from you .
1110,  iphone    io   ,"https://t.co/GDrqU22YpT. iPhone 7 + , iOS 11.1 ."
1111,certainly want close look ,We certainly want to take a closer look into this .
1112,select follow link join dm ,Select the following link to join us in a DM and we 'll go from there .
1113,  reliable bluetooth iphone    bug calendar app fix ,https://t.co/GDrqU22YpT. still no reliable Bluetooth on my iPhone 8 + .. when will the bug in the calendar app be fixed ?
1114,upgrade io   crash io   ,I upgraded to iOS 11.1 and it still crashes when iOS 11.03 .
1115,need fix update ,really needs to fix this update .
1116,phone slow   real   new version io iphone ,"My phone has never been slower , for real .. newest version of iOS and iPhone 7 ."
1117,happy look ,We 'll be happy to look into this with you .
1118,clarify   iphone model exact io version   ,"To clarify , which iPhone model do you have and what 's the exact iOS version ? ."
1119,iphone erase add email date til twice past hour ,My iPhone has erased and re added emails dating back from 2013 til now twice in the past 24 hours .
1120,wth    ,Wth ? ? ?
1121,have problem iphone say service ,Is anyone else having problems with there iPhone 7 saying no service ?
1122,internal problem ,Internal problem .
1123,suggestion help ,Any suggestions on how to help ?
1124,m pay new phone nt cause damage ,I m not paying for a new phone because I did n’t cause the damage ..
1125,work ,They could nothing worked .
1126,go apple store lynnwood   guy try charge replacement phone s ,"I went into the Apple store in lynnwood , and the guy tried to charge me for a replacement phone although it ’s an ."
1127,happy help ,We 're happy to help .
1128,problem   ,What seems to be the problem ? .
1129,help ,HELP ME .
1130,problem iphone ,I have a problem with my iPhone 7 😑 .
1131,s sort ,It ’s sorted .
1132,thank ,Thanks .
1133,io update need change hard reboot ,iOS update needed a change and hard reboot .
1134,  good dm address primary account look ,", That 's not good please DM full address and primary name on the account so we can take a look ."
1135,jj ,JJ https://t.co/ovAKPbiuQa .
1136,hi   hardwired equipment   able sign account online perform speed test analyze ,"Hi , while hardwired to your equipment , are you able to sign into your account online at https://t.co/EZ0KeJDO3Z and perform a speed test so that we can analyze it from here ?"
1137,ve run test multiple platform ,I ’ve run the test across multiple platforms .
1138,technician come resolve issue packet loss incredibly high ,I have a technician coming out to resolve the issue as the packet loss is incredibly high .
1139,s definitely issue ,There ’s definitely an issue .
1140,ve run multiple test cox   speed test   ookla ,"I ’ve run multiple tests across Cox , Speed test , and ookla ."
1141,m get download ,I ’m getting around 11 18 download .
1142,trace route   associate speak phone able provide ,"As for the trace routes , the associate I spoke with on the phone may be able to provide that ."
1143,m get near ,But I ’m not getting anywhere near 300 down .
1144,hi   glad schedule technician investigate issue ,"Hi there , I am glad that you scheduled a technician to further investigate your issue ."
1145,difficult diagnose issue remotely ,It is difficult to diagnose your issue remotely .
1146,let know result technician visit ,Please let us know the results after the technician visits .
1147,,   .
1148,thank follow ,Thank you for following up .
1149,member team touch shortly dm ,A member of our team will be in touch shortly through DM ..
1150,member team reach ,It seems a member of our team has reached out to you .
1151,check email follow   nt reach ,Please check your email and follow up with them there .. you have n’t “ reached out ” .
1152,refund cost inedible food delay ,Please refund the cost of the inedible food without delay .
1153,help ,We 're here to help !
1154,send dm email address connect ,Send us a DM with your email address so we can connect ..
1155,help ,Here to help !
1156,send note team connect ,Send us a note at https://t.co/nFTc4ODH3P so our team can connect ..
1157,order food uber eat ,I ordered food through uber eats .
1158,delivery ,I did not get the delivery .
1159,contact ,Please contact me ..
1160,seriously ,We take this very seriously .
1161,send dm email address connect asap ,Please send us a DM with your email address so we can connect ASAP ..
1162,help ,Here to help !
1163,follow   team connect right away ,Follow up here ; https://t.co/dwDjAokZht and our team will connect right away ..
1164,app work   wo let order food ,"My app does n't work ever , it wo n't let me order food ."
1165,keep say need confirm phone number ,Keeps saying I need to confirm my phone number 🤦 🏽‍ ♂ ️ ///.
1166,help ,We 're here to help !
1167,send dm email address specific detail issue follow ,Send us a DM with your email address and specific details of your issue so we can follow up ..
1168,help ,Here to help .
1169,send note team connect ,Send us a note at https://t.co/e8HVorX5rh so our team can connect ..
1170,fucking cold wait min ,it 's fucking cold and we have to wait 15 min .
1171,want cancel taxi ,I want to cancel my taxi .
1172,work ,It does n't work .
1173,pls help ,Pls help .
1174,taxi inf ,There are taxis inf front .
1175,hi stephen   contact store inform pack currently half price ,"Hi Stephen , I have contacted the store and they have informed me that it is due to the 6 pack currently being half price ."
1176,thank mark ,Thanks Mark .
1177,hi stephen   assure feedback pass management team haddington superstore ,"Hi Stephen , please be assured your feedback has been passed to the management team at our Haddington Superstore ."
1178,ty joanne ,TY Joanne .
1179,ok kevin ,That 's ok Kevin .
1180,help   hesitate contact ,"If there is anything else I can help you with , please do n't hesitate to contact me back ."
1181,ty jayne ,TY Jayne .
1182,m gon na pop store pass ,I m just gon na pop back to the store when passing .
1183,easy ,It will be much easier .
1184,nt receipt detail think quid ,I do nt have the receipt details but i think they were a quid ..
1185,supplier codesc    ok pass detail supplier ,"Also the supplier code(SC ) , would it be ok to pass your details to our supplier ?"
1186,ty jayne   ,TY Jayne 4/4 .
1187,include use batch code ,Please also include the use by and batch code .
1188,okay pass detail supplier   ,Would it be okay to pass your details onto our supplier ? .
1189,ty struan   ,TY Struan 4/4 .
1190,moneycard send email post   confirm d prefer ,"Your Moneycard can be sent via email or by post , can you confirm which you ’d prefer ?"
1191,  ,2/4 .
1192,ask forward detail log system ,Could I also ask you to forward some details so we may log it on our system ?
1193,  ,2/4 .
1194,hi kate   store let know speak store ,"Hi Kate , just before I call the store can you please let me know if you spoke with anyone in store about this ?"
1195,thank mark ,Thanks Mark .
1196,wait delivery restock freezer resolve ,We are just waiting on a delivery to restock the freezer and this will be resolved for you .
1197,lawrence   ,Lawrence 2/2 .
1198,like issue refund pass comment supplier ,I would like to issue a refund for you and pass your comments to our supplier .
1199,dm information ,Can you DM some information ?
1200,  ,2/4 .
1201,hi jamie ,Hi Jamie !
1202,thank awesome compliment pdx staff member ,Thanks for the awesome compliment for our PDX staff member .
1203,happy travel ,Happy travels .
1204,  hkc ,😊 * HKC .
1205,hey katie   thank feedback appreciate ,"Hey Katie , thanks for the feedback – we appreciate it !"
1206,ll pass right team cg ,We ’ll get this passed onto the right team 💚 /CG .
1207,sorry ,Sorry about that .
1208,nt receive email   notification eligible ,You should n’t have received an email / notification if you ’re not eligible .
1209,dm account email address username   nq ,Can you DM us your account 's email address or username ? /NQ https://t.co/ldFdZRiNAt .
1210,hey tom ,Hey Tom !
1211,worry   happy bring party place ,"Not to worry , we 're more than happy to bring the party to your place ."
1212,mind send invite know ,Would you mind sending this invite out to everyone you know ?
1213,,https://t.co/LwyCWf8WKC
1214,tb ,🎉 /TB .
1215,hey ,Hey there !
1216,thank take time reach pass feedback ad team nq ,Thanks for taking the time to reach out – we 'll pass your feedback on to our Ads team /NQ .
1217,spotifycare way block particular ad ,.@SpotifyCares any way to block this particular ad ?
1218,happy ad   do nt want premium ,Happy with ads / dont want premium .
1219,ad hard watch ,Just this ad is really hard to watch over and over and over .
1220,help ,Please help .
1221,,https://t.co/MsW8FjmKw1 .
1222,hey   help ,"Hey there , help 's here !"
1223,dm account email address username ,Could you DM us your account 's email address and username ?
1224,look backstage cg ,We 'll take a look backstage /CG https://t.co/ldFdZRiNAt .
1225,hey pazcal ,Hey Pazcal !
1226,send dm account email address ,Could you send us a DM with your account 's email address ?
1227,look backstage mj ,We 'll take a look backstage /MJ https://t.co/ldFdZRiNAt .
1228,hey guy   try update payment method add aussie visa credit card tell card   non spotify country   ,"Hey guys , I tried to update my payment method and add my Aussie visa credit card but it tell me that the card is for a "" non spotify country "" ?"
1229,try migrate account france australia live ,I 'm trying to migrate my account from France to Australia since I live here now
1230,use aussie card ,and I ca n't do that unless I use an Aussie card .
1231,hey ,Hey !
1232,cavalry ,The cavalry 's here .
1233,dm account username email address ,Can you DM us your account 's username or email address ?
1234,look hood js ,We 'll take a look under the hood /JS https://t.co/ldFdZRiNAt .
1235,hey ,Hey there !
1236,worry   help ,"Do n't worry , help 's here ."
1237,let know iphone model io spotify version ,Can you let us know the iPhone model you 're using along with its iOS and Spotify versions ?
1238,suggest mt ,We 'll see what we can suggest /MT .
1239,single time send spotify link   work time ,"every single time someone sends a Spotify link , it never works the first time ."
1240,l w y s press link twice work ,I have to A L W A Y S press the link twice for it to work 🤦 🏻‍ ♂ ️ 🤦
1241,,🏻‍ ♂ ️
1242,,https://t.co/MZ9Ai1cFaT.
1243,,We see .
1244,dm facebook profile email address ,Could you DM us your Facebook profile 's email address ?
1245,help cg ,We 'll help out there /CG https://t.co/ldFdZRiNAt .
1246,facebook account method log ,I 'm using my facebook account as a method to log in ..
1247,hey ,Hey !
1248,dm account s email address ,Could you DM us your account ’s email address ?
1249,ll check backstage cg ,We ’ll check this out backstage /CG https://t.co/ldFdZRiNAt .
1250,connection   notification phone love fresh install   luck   ,"Over all connection , I get this notification from the phone as for loving in and out I did a fresh install , no luck ! ."
1251,dm account email address ,Can you DM us your account 's email address ?
1252,check thing kc ,We 'll check things out /KC https://t.co/ldFdZRiNAt .
1253,app kill   phone ,the app is killing # phone #
1254,battery fixing problem ,battery fixing this problem ?
1255,okay ,How is this okay .
1256,guess get money complaint ,I guess you are getting the money without any complaints .
1257,seriously ,We take this very seriously .
1258,send dm email address additional detail connect asap ,Please send us a DM with your email address and additional details so we can connect ASAP ..
1259,hi ,Hi there !
1260,dm account email address username ,Can you DM us your account 's email address or username ?
1261,look backstage nq ,We 'll take a look backstage /NQ https://t.co/ldFdZRiNAt .
1262,hi thoma ,Hi Thomas .
1263,make total sense ,It makes total sense !
1264,link help sort awesome track   ls ,This link should help you sort your awesome tracks : https://t.co/5hjtm5AdqM /LS .
1265,song order order add   make sense   ,is there anyway to move songs around so they 're in my order and not the order of when I added them ... if that makes sense ? .
1266,hi daniel ,Hi Daniel !
1267,send link idea post ,Can you send us the link to the idea you posted ?
1268,look happen nh ,We 'll take a look at what happened 🙂 /NH .
1269,hi ,Hi .
1270,playlist idea status got change   receive vote ,My playlists idea 's status got changed + ca n't receive any votes .
1271,send link   similar idea    close ,"They sent me a link to a "" similar idea "" , but it 's closed .."
1272,alright ,Alright .
1273,send song link ,Can you send us the Song Link then ?
1274,tap dot   gt   share   gt   copy link ,Just tap the three dots & gt ; Share & gt ; Copy Link .
1275,look ag ,We 'll have a look /AG .
1276,s mobile app ,It ’s on the mobile app .
1277,hey ,Hey there !
1278,send spotify uri ,Can you send us the Spotify URI ?
1279,right click track   gt   share   gt   uri ,Just right click the track & gt ; Share & gt ; URI .
1280,  country spotify account set ,"Also , what country is your Spotify account set to ?"
1281,ag ,/AG .
1282,hi maggie   advise charge online need contact   ,"Hi Maggie , we do advise our call charges online for when you need to contact us . ."
1283,call number premium rate additional service charge benefit ba ,If you called an 0844 number this is premium rate with an additional Service Charge benefitting BA ..
1284,call number inclusive allowance charge   amp   number ,If you called an 0344 number this is inclusive in allowances otherwise charged same as 01 & amp ; 02 numbers ..
1285,charge   number set entirely caller phone provider ,The call charges for 01/02/03 numbers are set entirely by the caller 's phone provider ..
1286,charge   phone book flight cost   ,"you have charged me 32.19 for a phone call to book my flights which cost £ 3,700 ."
1287,try check online flight usa say need esta valid till ,Am trying to check in online for a flight to USA however it is saying in need an esta which I have and is valid till 2019 .
1288,cross ,We 'll keep everything crossed for you !
1289,happy holiday ,Happy holidays !
1290,confirm winter plan moment   diz ,"We ca n't confirm next winters plans at the moment , Diz ."
1291,review schedule ll update   ,We always reviewing our schedules and we ’ll update our 1/2 .
1292,hi   contact lagos office     monday friday open   ,"Hi , please contact our Lagos office on ( +234 ) 70 94250 556 Monday to Friday Open 09:00 17:00"
1293,saturday open    ,Saturday Open 10:00 14:00 .
1294,want know office location lagos   amp ,I want to know your office locations in Lagos & amp ;
1295,abuja nigeria   respective contact number travel purpose ,"Abuja Nigeria , and respective contact numbers for travel purpose ."
1296,thank ,Thanks ..
1297,definitely look ,I can definitely look into this for you .
1298,dm address phone number ,Please DM me your full address and phone number
1299,well assist ,so I can better assist .
1300,slm ,– SLM .
1301,hello   thank reach billing concern happy help ,"Hello , thanks for reaching out about your billing concerns and I 'd be happy to help !"
1302,dm address ,Can you DM the full address ?
1303,at ,~AT .
1304,hey krystal   look account ,"Hey Krystal , I can look into your account ."
1305,dm account info   matt ,Can you DM me your account info please ? Matt .
1306,sorry service issue ,Sorry about the service issues .
1307,send dm account info help -- jv ,Please send us a DM with your account info so I can help.--JV .
1308,post phone g   home   amp   cable   internet   like th time month ,"Posting from phone on 4 G , even though I 'm home & amp ; have cable / internet ... for like the 8th time this month ."
