,sentences,raw_sentences
784,mile   hour phone call   store visit day waste ,"16 miles , 2 hour phone calls , 3 store visits and 1 day wasted ."
785,help   ,Can you help me please ? !
786,sorry delay ,Sorry to about the delay .
787,allow assist ,Allow us to assist you from here .
788,issue call   ,What issue are you calling in about ? .
789,shed light zw ,Could you please shed light on 1Z5776W10491633299 ?
790,delivery today budge week ,It is due for delivery today but has n't budged since last week .
791,advise   time row mess order ,Please advise .. third time in a row messes up my order 🙃 🤗 .
792,internet come late night ,the internet came back up late last night .
793,thank ,Thank you .
794,internet week technician come   fix   ,my internet is down a week after a technician came out to ' fix ' it .
795,internet suck     ,My internet SUCKS ! ! ! !
796,wrong bill ,And their is ALWAYS something wrong with my bill .
797,lol ,Lol .
798,crazy ,It 's crazy .
799,go   metropc ,I could 've went to # MetroPCS for this 😕 .
800,fucking internet   comcast take    ,My fucking internet # Comcast just took a 💩 # AGAIN ! !
801,mufuckaz make wanna snap ,These mufuckaz making me wanna snap .
802,talk bout tower technician n ,Always talking bout towers and technician n more 🐂 💩 .
803,poor reliable internet connection ,Poor ca n't make a reliable internet connection !
804,embarrassed router recent performance ,I 'm embarrassed by my routers recent performance .
805,call tomorrow sad   ,Calling tomorrow Sad ! .
806,nt know account number ,I do n’t know my account number
807,call comcast say agent nt help ,and I just called Comcast and they said an agent could n’t help me ..
808,appreciate set video box specifically ask tell require internet service ,Appreciate the set top video box I specifically asked not to have and then told was required for internet service .
809,nt   ,It is n’t :( .
810,hi   love provide account   review situation   need check record call st   cont   ,"Hi there , I would love to provide you with my account # to review my situation , but need to have someone check the recorded calls 1st ( cont ) ."
811,try download strange thing season phone right internet move slow mole ass ,Trying to download Stranger Things Season 2 onto my phone right now and this internet is moving slower than mole asses ..
812,book flight dubai finding dubai wo visa nationality book ,Booking a flight to Dubai via and finding out afterwards Dubai wo n't give visas to the nationality we booked for .
813,helpful ,Helpful ..
814,agent people check bag flight   people take overhead bin coat ,"your agents made people check bags because the flight is full , yet many people have taken up overhead bins with coats .."
815,s s phone number charge   ,why ’s that if it ’s your phone number charge ? .
816,m campaign refund money steal month ago ,I ’m campaigning for the refund on the money you stole from me over 2 months ago 🔫 .
817,thank kimber ,Thank you Kimbers .
818,manage flight end ,Managed to just make it onto my flight in the end .
819,hey dm ,Hey can you DM me ?
820,huge issue try order today ,Huge issue trying to get my order today ..
821,thank lose fucking package ,Thanks for losing my fucking package .
822,want damn iphone ,😡 I️ want my damn iPhone .
823,hey account pay unmoored facebook sure ,hey my account which I pay for has become unmoored from my Facebook which I 'm sure
824,register ,is what I 'm registered with .
825,flight cancel team seatac helpful ,my flight is cancelled and the team at SeaTac is less than helpful .
826,concerned break customer   ask people standdown flight airport surely day social medium ease ask early     ,More concerned with breaks than customers .. why ask for people to standdown on flight at airport surely in days of social media is ease to ask early ? ? ? .
827,flight   delay morning ,Flight # 4354 has been delayed since this morning ......
828,miss event job ,I am missing events and jobs .
829,  ,"Get me on now , please ."
830,email message ,is there an email i can message ?
831,ve try buy premuim day ,I ve been trying to buy premuim for a few days
832,get card bad day error ,but i keep getting the card bad day error ..
833,hey exactly u stop great service   amp   pain    ,hey exactly when u stopped being great service & amp ; being pain in the a * * .
834,payu interface work hrs ,Your payU interface is not working since at least 6 hrs ..
835,seriously ,Seriously .
836,guy need crap ,You guys need to get your crap together .
837,internet day texas ,Internet up and down for days in Texas ..
838,refund request active week money card ,One of my refund request has been active for a week and the money still has not been put on my card ..
839,dl late io today ,DL the latest iOS today .
840,laggy s ,Very laggy 6s .
841,phone running like hammered dog shit dl   hi query late arrive aircraft flight hrs away ,Phone is running like hammered dog shit since the DL .. hi just a query on how there is a late arriving aircraft when the flight is just over 24hrs away ?
842,glitch ,This this a glitch ?
843,,https://t.co/Y3CQxXqMZz .
844,hey plane flight flight ,Hey why did you give our plane for flight 783 to flight 773 ?
845,flight schedule leave   badcustservice ,Our flight was scheduled to leave first # badcustservice .
846,attempt open twitter app complain io mess iphone slow life   ,only 8 attempts to open the twitter app and complain about the iOS 11 messing up my iPhone 7 this is slowing down my life :( .
847,flight destination sign show minneapoli san jose fuel stop   ,The flight destination signs are showing Minneapolis through to San Jose is this a fuel stop ? .
848,understand decision swap small plane fuel capacity sacrifice flight san diego ,I do n't understand the decision to swap to a smaller plane with less fuel capacity to sacrifice this flight for the San Diego one .
849,likeliness flight get cancel   ,What 's the likeliness of this flight getting cancelled ? .
850,flight post hour delay ,why did flight 783 just post a two hour delay .
851,want know internet trash ,I just wanted you to know your internet is trash .
852,  morning ,3:22 in the morning
853,slow f ,and it 's slow as f.
854,thank help ,Thank you for your help .
855,hope talk spectrum bringing service area especially mobile home park turn family community   dsl satellite internet wo nt cut family ,"I really hope I can talk spectrum into bringing your services to my area especially with the mobile home park now turning into a family community and , dsl and satellite internet really wo n’t cut it for families ."
856,hope high up ,And I really hope the higher ups see this .
857,far shittiest internet provider far   go weekend ,"By far the shittiest internet provider by far , always goes down on the weekends ."
858,phone number   available   hard email address   ,"Just phone numbers , not available now … why is it so hard to just put an email address there ? ."
859,chat nt work germany ,Chat does n’t seem to work in Germany .
860,order page leave comment   ,On the order page I can not leave comments … .
861,dear   online order receive talk   ,"Dear , I have an online order which I never received who can I talk to ? ."
862,login facebook     email    ,I login with facebook ( _ _ email _ _ )
863,think email account spotify old     email     defunct ,but i think my email account for spotify is my old one ( _ _ email _ _ ) that is now defunct .
864,  ,What can I do ? .
865,sorry poor internet connection   possible ,"Sorry there was poor internet connection , you can now if possible ."
866,come get stafford ,No one came through before we got off at Stafford .
867,pity passenger train london euston ,I pity the passengers who had to put up with them still on train to London Euston .
868,refund ticket station staff allow ppl drunk train st place ,Rather have a refund for ticket for the station staff allowing ppl drunk on the train in the 1st place .
869,racist   foul mouthed lout scared kid train ,"Racist , foul mouthed louts which scared the kids on the train ."
870,locate train   ,Where are they located on train ? .
871,,I did .
872,  ,"No , they did not ."
873,delete reinstalled app ,I also deleted and reinstalled the app .
874,nt believe tv video output issue general game fine ,I do n’t believe it is a TV or video output issue in general as all the games are fine .
875,bluray player app ,It is only the BluRay player app which does this .
876,think app handle macrovision   thank unsure s go help say delivery arrive today know proberly wo nt   ,I think the app is not handling macrovision or something .. Thank you but unsure how that ’s going to help as just says “ put for delivery and arriving today when I know it proberly wo n’t : /.
877,nt disable ,so it ca nt be disable ?
878,umm ya   problem come oftenly iphone woke ,umm ya .. problem comes oftenly when my iphone just woke up .
879,kindly gimme advice heal issue ,kindly please gimme some advices to heal that issue .
880,remedy   amp   refund    breakfast money tomorrow   thank ,"Remedy & amp ; please refund my $ 5 , that 's breakfast money tomorrow , thank you ."
881,,https://t.co/dT6DYbPZO6 .
882,good sis issue driver recently   help   ,me and my good sis had an issue with a driver recently ... can you please help ? .
883,stuck tarmac hour hot plane flight dl slc lose thousand business deal la ,stuck on the tarmac for one hour in a hot plane flight DL2170 From SLC losing Thousands on a business deal in LA !
884,unexceptable   ,Unexceptable ! .
885,miss entire halloween kid find flight attendant flight home ,Missing my entire Halloween with kids because ca n't find a flight attendant for my flight home .
886,  bestlaidplan   anotherdisappointment ,# bestlaidplans # anotherdisappointment .
887,spotify open computer phone add local file playlist computer ,With spotify open both on my computer and phone I added a local file to a playlist on my computer .
888,  phone spotify song playlist instead ask browse music add newly create ,.... on my phone Spotify did n't show the song that was in the playlist but instead asked me to browse for music to add to my newly created ....
889,helpful show song grey phone   simply give option offline   download song ,"It 'd be helpful if it showed the song greyed out as it 's not on the phone yet , and simply gave me the option to offline / download the song .."
890,hi   provide email address contact flight booking cancelation   ,"Hi , can you please provide me with an email address that I can contact about my flight booking and cancelation ? ."
891,oh surprised ve spend hour phone rep keep argue   amp   nt resolve situation ,Oh why am I not surprised that I ’ve spent over 1 hour on the phone with a rep who keeps arguing & amp ; ca n’t resolve situation .
892,  like change account marry ,", I would like to change my name on my account to my married name ."
893,,How can I do this ?
894,email address work   app tell connect supercomputer ,Email address not working .. why does your app tell me it ca n't connect to your supercomputer ?
895,  imhungy ,# imhungy .
896,want order burritos ,I want to order some burritos .
897,use roku   streaming impact ,"I use Roku , and no other streaming is impacted ."
898,watch cbs access right ,I am watching CBS all access right now .
899,solely hulu issue ,This is solely a hulu issue .
900,switch app cbs access issue   issue morning   try watch news ,No I switched from your app to CBS all access due to the issue ... it was also an issue this morning at 5:30 trying to watch the news .
901,lol eighteen thoudandth time   phone iphone android   effect ,"Lol for the eighteen thoudandth time , this is not my phone because there are 2 iPhones and 2 androids , and it effects them all ."
902,smfh ,SMFH .
903,iphone x say deliver date rd order   say pende checking order status ,"My iPhone X said deliver date of the 3rd when I ordered it , however it still says “ pending ” when checking order status .."
904,s iphone x shipment pende   ,Anyone ’s iPhone X shipment still pending for ? .
905,break phone ,I Broke My Phone
906,yah insurance clam thing give ,Yah Insurance Clam Thing Giving Me
907,run ,The Run Around .
908,user   owner   business account   process order new phone extremely frustrating ,"As a user ( but not owner ) on a business account , the process of ordering a new phone has been extremely frustrating .."
909,ve comcast internet tv service day ,I ’ve had no Comcast internet or tv service for days now
910,verizon phone help watch world series game     ,but I have a verizon phone can you help me watch the World Series game ? ? ? .
911,go location look work atm   finally give pay surcharge bank ,Went to three locations looking for a working atm ... finally gave up and paid the surcharge at another bank .
912,,Get it together .
913,internet service   ,no internet service since 10/29 .
914,day straight cust ,2 days straight Cust .
915,service give estimate restoration time   nt know ,"Service gave estimated restoration times , now they say they just do n’t know ."
916,s    ,it ’s 1313 ( or 313 ) .
917,give error message say s issue channel ,it gives me an error message that says there ’s an issue with the channel .
918,ve try pm   nice try ,i ’ve been trying since about 4:10pm .. nice try .
919,train worker cause outage   amp   phone rep ve bad day ,those well trained workers caused my outage & amp ; your phone rep must ’ve had a bad day .
920,goodbye ,goodbye
921,hello ,hello
922,m sit class live tv channel work game world series ,I ’m sitting in first class and none of your live tv channels are working for GAME 6 of the World Series .
923,,https://t.co/kbvmEf5tA1 .
924,mcs upgrade elevate gold available flight book vx metal   ,are MCS and first upgrades for elevate gold not available on a flight booked through AS but on VX metal ? .
925,time u people ask number conflicting response frm   amp   d like ,This is over 10 times u people have been asking 4my number with conflicting responses frm SO & amp ; d likes .
926,,08054117690 .
927,u refund money ,U must refund my money ..
928,rob peter pay paul ,You is robbing Peter to pay Paul .
929,exploitative network ,What an exploitative network .
930,week feedback response people ,Over two to three weeks now no feedback nor response from you people .
931,ole high order barawo kwai ,Ole of highest order barawo kwai .
932,dis issue wt ,I 've been on dis issue wt 4almost a
933,yr bt disregard   amp   instruction wt lie unfounded ,yr bt disregarded & amp ; instruction wt lies unfounded .
934,u return money ,U must return my money .
935,till moment escalate ,Up till this moment you are still escalating .
936,rob peter pay paul ,You is robbing Peter to pay Paul .
937,exploitative network ,What an exploitative network .
938,week feedback response people ,Over two to three weeks now no feedback nor response from you people .
939,ole high order barawo kwai ,Ole of highest order barawo kwai .
940,got sort   multiple phone call fail chat session   horrible btw   ,"I got it sorted out , after multiple phone calls and failed chat sessions ( those were horrible btw ) ."
941,package schedule delivery today nt come m happy ,Had a package scheduled for delivery today and it did n’t come I ’m not happy .
942,  run     ,"Well , I️ was running 11.0.3 , and now 11.1 ."
943,issue persist ,Issue persists ..
944,hey   s new autocorrect ,"Hey , what ’s up with this new autocorrect ?"
945,happen iphone plus iphone   ,Happening on iPhone 7 Plus and iPhone 7 . https://t.co/pHA05gv7g7 .
946,iphone damn glitchy   sure upgrade worth ,"My iPhone is so damn glitchy , not sure this upgrade to the 8 was worth it ."
947,nt send picture ,I ca n’t even send pictures 😡 .
948,undo io update ,Can I undo this iOS update ?
949,horrendous deal phone frustration   mobile use day acceptable ,This is horrendous and dealing with phone frustration during 75 % of my 150 mobile uses each day is not acceptable .
950,new update make phone funky ,the new update is making my phone so funky .
951,check emoji letter I fix ,Check out the emoji and the letter I️. Is there a fix ?
952,,https://t.co/9EpjZmt5ZC .
953,buy itune gift card worth week ago   email nt come inbox tell code ,"I bought an iTunes gift card worth £ 15 a week ago , and the email still has n’t come into my inbox to tell me the code ."
954,helpppp ,Helpppp .
955,okay   update phone new version ,"Okay , I️ updated my phone the newest version ."
956,hey wonder new update phone going banana day far   ,Hey just wondering why this new update has had my phone going bananas all day so far ? ?
957,enlighten ,Please enlighten me ..
958,buy iphone applecare ,I bought an iPhone 8 with AppleCare+ .
959,want return iphone ,Wanting to return the iPhone 8 .
960,happen applecare   ,What happens with the AppleCare+ ? .
961,work phone brandlike lg galaxy phone   ,But would it work with another phone brand?Like LG galaxy phones ? .
962,person send iphone thisi phone ,Does the person you send it too also have to have a iPhone to see this?I see it on my phone ..
963,accidentally pick wrong order lobby   help ,"I accidentally picked up the wrong order from my lobby , can you help ?"
964,deliver food apt number ,I can deliver the food if I have an apt number ..
965,s spirit ,That ’s the spirit !
966,order witch fall food crave ,Order witch ever fall food you crave .
967,  halloween   ubereat ,# Halloween with # UberEATS https://t.co/HlQu7IGLID .
968,uh order guy nt fill cup   pay drink get cup ,Uh we order through and the guy did n’t fill the cups .... we paid for drinks but only got the cups ......
969,   afirstflyer   dinner service flight tonight pretty darn good ,", not the # A350FirstFlyers , but dinner and service on flight 820 tonight is pretty darn good !"
970,,https://t.co/yWdxK5YHOM .
971,thank go   ampbeyond able change flight directly florida   amp   chance goodbye grandpa ,Thanks to going above & amp;beyond I was able to change my flight to go directly to Florida & amp ; have the chance to say goodbye to my grandpa .
972,thank get flight lga minute spare gate ,Thank you for getting us on the next flight out of LGA with only minutes to spare at the gate .
973,connection   ,We will make our connection :) .
974,help spotify card ,Help on my spotify card please .
975,hello ve book american airline flight   operate alaska    earn ba tier point flight   ,Hello I ’ve booked an American Airlines flight ( operated by Alaska ) ; will I still earn BA tier points on this flight ? .
976,flight ba- hour delay tarmac load kid onboard food   drink provide   jokeairline   notimpresse ,flight BA0471- 3 hour delay on Tarmac with loads of kids onboard no food / drink provided # jokeairline # notimpressed .
977,s research go ,How ’s that research going ?
978,internet go regularly ,My internet still going down regularly .
979,,https://t.co/VqX0XwaFdq .
980,  tvinternetphone service hour ,No # tvinternetphone service for over 24 hours !
981,disappointed customer service ability resolve issue ,I 'm disappointed in your customer service and ability to resolve this issue .
982,  early phone mid december   nt confirm date know country ll ,"Top that off , earliest I can get the phone now is mid December , ca n’t confirm the date enough to know which side of the country I ’ll be on .."
983,iphone x order cancel ,iPhone X order cancelled .
984,email e sig   bad ux ,Email e sig = bad UX .
985,wait month ,Now I have to wait another month .
986,kill ,You ’re killing me 😤 📲 🔪 💔 .
987,  lookingback bag packedtomorrow hop flight head washington dc ,# LookingBack Bags are packed!Tomorrow we hop on a flight headed for Washington D.C.
988,  eoydcgoe dc college tour ready ,# EOYDCGoes DC College Tour 2017 you ready ?
989,,https://t.co/wLEoRNd2e2 .
990,official go vacation check flight ,It 's official we 're going on vacation we 're checked into our flight .
991,good bank exist anymore enquire information open account chase   idk   say proof income balance ,Do good banks even exist anymore I was enquiring informations opening an account at chase ( idk why ) they said I have to show proof of income and keep a balance of 1500 in there .
992,like rothschild     ,Like really rothschilds ! ? ! .
993,  contact ashley wisniewski   ,"Again , contact is Ashley Wisniewski 312.890.7112 ."
994,account holder ,She IS an account holder ..
995,mean ,What does that mean ?
996,dvr cable box stop work have month ,We have a DVR cable box that stopped working after having it for 2 months .
997,send replacement ,They sent a replacement ..
998,issue cable internet towson   md able fix reach ,"is there an issue with cable and Internet in Towson , MD not able to fix anything or reach anyone ...."
999,try create account ,I 'm trying to create an account
1000,receive verifying e mail   inbox   spam   ,"but I still have n't received the verifying e mail ( no inbox , no spam ) ."
1001,help ,Help ..
1002,try download ww keep tell card invalid ,I am trying to download WW2 and it keeps telling me my card is invalid .
1003,card buy game digitally ,Same card I 've used to buy 2 games digitally with .
1004,w ,W10 .
1005,issue immediate illustrator crash launch solve set default printer adobe fix eventually find forum ,Issue with immediate Illustrator crash on launch was solved with setting default printer to Adobe a fix I eventually found in the Forums .
1006,weird work   ,Weird but it worked ! .
1007,hello   x max support resolution surface pro   try low resolution issue ,"Hello , 2160 x 1440 is the max supported resolution on the Surface Pro , I tried lower resolutions and the issue is always there too .."
1008,good ,Seems to be good .
1009,support respond email say order status wo change online   warehouse ship new addr ,"Support responded by email saying that the order status wo n't change online , but the warehouse will ship to the new addr .."
1010,helped call support ,I was helped when I called support again .
1011,  address change order status ,"However , the address has n't changed in the order status yet .."
1012,issue   ,There is no issue :) .
1013,replacement screen s know expect ,You have no replacement screens for the 6s and do n't know when to expect .
1014,inventory issue problem   order date oct- order ,Your inventory issue becomes my problem .. Order date 06 Oct-2017 Order # 406 8895581 1413106
1015,order total    item   check ,"Order total 
    3,719.00 ( 1 item ) check out yourself ."
1016,support team talk ,What support team are you talking about ?
1017,call twice n sound like graciously refund money ,I called twice n they make it sound like they will graciously refund my money .
1018,,But then nothing .
1019,order date oct- ,Order date 06 Oct-2017
1020,order ,Order # 406 8895581 1413106
1021,order total    delete   ,"Order total 
    3,719.00 ( delete it again ) ."
1022,bad experience shopping product refund   day ,"Worst experience in shopping no product no refund , been 40 days ."
1023,f ,F&amp;@694
1024,,it .
1025,order case new iphone x send iphone case one ,Ordered cases for our new iPhone X and sent me iPhone 8 cases for BOTH ones .
1026,phone ,NOT THE SAME PHONE !
1027,  piss ,# pissed .
1028,send item x size ,Was sent this item in 6x9 size .
1029,try return   amp   up today ,Trying to return & amp ; UPS did not show up today .
1030,item refund price difference ,I 'd keep item if I could get refund for price difference .
1031,,https://t.co/G1a6por32Z.
1032,pay extra overnight shipping guy gon na delay package day ,so I pay extra for overnight shipping and you guys are gon na delay my package for another 2 4 days ?
1033,like refund   ,i 'd like a full refund 1/2 .
1034,dear letter work email text ,Dear why is my letter I️ not working by itself in email or text ?
1035,type letter attach happen ,When I️ type the letter “ I️ ” the attached happens .
1036,  mi iphone se puede conectar la red wifi privadas pero si las free   que hago ,"https://t.co/2qZ7Tjx5cF. mi iPhone no se puede conectar a la red wifi privadas pero si a las free , que hago 😢 ."
1037,say battery die fast ,I said the battery is dying too fast .
1038,new io   ,Is that because of the new iOS 11.0.3 ?
1039,m pretty worried ,I ’m pretty worried about it 😕
1040,nt trust phone anymore ,I ca n’t trust my phone anymore .
1041,hey keyboard work update phone late io ,hey my i on my keyboard is n't working and i just updated my phone to the latest IOS .
1042,pretty sure detailed issue blatantly ,Pretty sure I detailed what the issue is blatantly .
1043,y all filter whatsoever drive skill hire ,Y’all have no filter whatsoever on the driving skills of who you hire ..
1044,bad customer service experience ,has the worst customer service I have ever experienced .
1045,spend hour phone ignorant operator   amp   resolve ,Spent two hours on the phone due to ignorant operators & amp ; nothing was resolved .
1046,number working cut go hold ,Other number still not working just cuts off without going onto hold .
1047,sort   recommend try number say ,"I 'm sorted , but recommend you try the number to see what I 'm saying ."
1048,yes atm say cantact provider number card number give   working week ,"Yes the ATM says to cantact provider the number on the back of the card is the number you gave me , but it has n't been working for weeks ."
1049,  mobilecarexi ,# mobile_CareXI
1050,wifi work ,WiFi is not working .
1051,fly ,Never flying again .
1052,flight attendant rude   extortion carry baggage ridiculous ,"They flight attendants were rude , and the extortion for carry on baggage is ridiculous !"
1053,disappointed ,So disappointed ..
1054,hi ,Hi !
1055,phone number check flight status ,Can you please give me a phone number to call to check flight status ?
1056,thank   ,Thank you ! .
1057,phone hour   kid fire tablet work   warranty lie agent rude ,"I was on the phone for an hour ; kids fire tablet not working , warranty is a lie and your agents are rude .."
1058,thx ur inexpensive flight option min trip hm family time need ,Thx 4 ur inexpensive flight options 2 make a last min trip hm 2 family in time of need .
1059,fly w seamless    ,Flying w/ my 🐶 is seamless ! ! .
1060,thank good bday gift ,Thank you for the best bday gift ever !
1061,weekend ,A weekend at !
1062,good flight home ,And the Best empty flight home !
1063,,https://t.co/nSSSgQ86Er .
1064,find phone return brooklawn nj store steal employee credit account   ,Did you find my phone that I returned to brooklawn nj store that was stolen by an employee and credit account ? .
1065,  iphone x pre order sprint ,Get $ 350 off iPhone X when you pre order yours with Sprint .
1066,  worksforme   mad sprint   daughter phone steal getting rum try new ,"# WorksForMe https://t.co/xFaqC6Mt5I. Mad at Sprint , daughter had her phone stolen and we are getting the rum around trying to get her a new one ."
1067,  sprint   frustrate ,# Sprint # frustrated .
1068,receive payment confirmation mum s account email address ,just received a payment confirmation from my Mum ’s account to my email address !
1069,massive breach data protection     ,Massive breach of data protection ! ! ! .
1070,ask bank account   primary ,I have asked for bank account # 2 to be my primary .
1071,earth transaction come   ,Why on earth would transactions still come out of # 1 ?
1072,major flaw ,This is a major flaw .
1073,channel unavailable ,None of channels are unavailable .
1074,ve try troubleshoot ,We ’ve tried to troubleshoot it
1075,nt work ,but it is n’t working .
1076,nt video   picture issue ,It is n’t a video / picture issue .
1077,yes have issue ,Yes they ’re all having the same issue .
1078,know m fucking enraged thinking   mind   spend hour phone lie employee ,"You know what I ’m so fucking enraged thinking about it , mind you , I have spent hours on the phone with your lying employees ."
1079,m switch morning ,I ’m switching in the morning .
1080,fuck ,Fuck off .
1081,wait help ,Still waiting for help .
1082,cash lock card midnight ,I have no cash and you locked my card until midnight .
1083,local branch close ,All local branches are closed .
1084,unlock debit card cash ,Can you unlock my debit card so I can take cash out ?
1085,cs tell wait midnight card unlock ,CS told me I had to wait until midnight for my card to unlock .
1086,thank ruin halloween   ,Thanks for ruining my Halloween ! !
1087,know boa unlock debit card phone ,Did you know BOA ca n't unlock a debit card over the phone ?
1088,work til   bank close ,"I work til 6 , banks close at 4 .."
1089,nt ,I have nt .
1090,phone number team   ,Is there a phone number for that team ? .
1091,leave suitcase train london waterloo platform leave   poole ,I left my suitcase on the train from London Waterloo platform 12 leaving at 23.05 to Poole .
1092,get basingstoke leave sc   ,Got off at Basingstoke leaving SC 1/2 .
1093,kindly restore number   account balance great rs message complaint ,"Kindly restore my number , my account has had a balance greater than Rs20/ 9850873091 as per your message of 6 10 17see complaint ."
1094,got marry   need change upcoming flight ticket mileage plan ,"Just got married , need to change the name on upcoming flight tickets AND on my mileage plan !"
1095,  ,What should I do ? .
1096,offer disappear   include w   end year expiration date previously add card ,"my offers have all but disappeared , including many w / end of year expiration dates that I had previously added to my card https://t.co/g9GuoJLYuh ."
1097,blue light filter work kid account fire kid edition   ,why does n't blue light filter work on kids account on the fire kids edition ? .
1098,order suppose th arrive ,I have an order that was supposed to be here on the 25th which has not arrived yet ..
1099,apology   say delivery date october st ,"My apologies , it says now that the delivery date is October 31st ."
1100,come ,Still has n't come though ..
1101,hey pay extra shipping order   arrive today   nt ship wonder ,hey why did i pay extra for shipping only for my order to say ' arriving today ' and it still has nt shipped yet just wondering ..
1102,upgrade iphone io    camera flash stop work ,"after I upgraded my iPhone to iOS 11.0.3 , the back camera and the flash stopped working ."
1103,  ,Could you do something ? .
1104,depois da ultima atualizado ios bateria iphone ta durando quase nada ,Depois da ultima atualizado do IOS a bateria do IPhone 6 tá durando quase nada
1105,download new software update iphone s perfect condition magically inoperably glitchy ,Downloaded new software update and my iPhone 6S in perfect condition magically became inoperably glitchy .
1106,coincidence ,What a coincidence .
1107,chance guy find beat headphone leave flight dl yesterday   ,any chance you guys found some beats headphones left on flight DL0929 yesterday ? .
1108,firstly cabin service manager lesley thomson fantastic go flight vegas heathrow ,firstly Cabin Service Manager Lesley Thomson is fantastic and went above and beyond during a flight from Vegas to Heathrow .
1109,iphone x preorder going come early ,are iPhone X preorders going to come in early ?
1110,say ship day get rd   ,Mine has said shipped for 2 days now or are we getting them the 3rd ? .
1111,change delivery attempt ,I can not change my delivery and this is the third attempt .
1112,contact want package go sender   ,Can someone contact me because I do n't want my package going back to the sender ! .
1113,american airline extend courtesy flight airport ,American Airlines extends that courtesy for EVERY flight from EVERY airport .
1114,guess spoil ,Guess they spoiled me .
1115,thank ur patriotism ,Thank you for ur patriotism .
1116,thank treat miss tonight ,Thanks for the treat for those of us who have to miss out tonight !
1117,sure tell flight crew ,I will be sure to tell my flight crew .
1118,d   n know ,They d / n know 🎃 👻 .
1119,hey   thank great flight oak pdx ,"Hey , Thanks for great flight from OAK to PDX ."
1120,appreciate comp halloween cocktail treat   amp   minnie mouse announcement   ,Appreciated the comp Halloween cocktail treat & amp ; Minnie Mouse 's announcements ! .
1121,today shittiest day ,Today has been the shittiest day ever .
1122,stomach hurt like shit freaking chipotle phone decide   sim   ,"My stomach hurts like shit after freaking chipotle and then my phone decides to say "" no sim "" ."
1123,ymy kid get bowl say husband costume steve mess order neway nt nice ,Y?My kid got a bowl but said no to husbands costume as Steve They messed up the order neway and were nt very nice .
1124,miss patch ,I miss my patch .
1125,ppl ,We ❤ ️ ppl .
1126,phone number update old service get confirmation text   help   ,"my phone number has not updated from my old service even though I got a confirmation text , help ! ."
1127,service ,can I get some service please ?
1128,need issue resolve ,Need an issue resolved .
1129,adobe premiere stop work ,Adobe premiere stopped working .
1130,order   ,Order # 556073124 .
1131,order pizza hour ago   tracker say deliver ,"Ordered my pizza and hour ago , on the tracker it says delivered ."
1132,,Did n't get anything .
1133,refund   ,Can I get a refund ? .
1134,card decline lyft transaction safety measure bank ,my card was declined for a Lyft transaction as a safety measure from my bank .
1135,help pay tip driver   ,Can you help me pay and tip my driver ? .
1136,open account transfer money close account ,Can you please open my account so I can transfer the money in there and close the account ..
1137,call customer serv   call usp usps rep blame route ,"I called customer serv , they called usps and the usps rep blamed your routing ."
1138,second usps rep phone amazon blame usp ,The second the usps rep was off the phone Amazon blamed usps .
1139,say delivery pm ,at 7 it said it was out for delivery by 8 pm .
1140,say sorry package late arrive november rd ,It now says sorry for your package being late and will arrive by November 3rd .
1141,thank   call ,"Thanks , I called ."
1142,agent say order receive   ship ,"The agent says the order has been received , but not shipped ."
1143,anticipate friday delivery ,Still anticipate a Friday delivery .
1144,original promised delivery date yesterday friday   day   amp   order ship ,Original promised delivery date was yesterday to this Friday .. it 's been 7 days & amp ; my order still has n't shipped .
1145,  fail   remove system say insert unrecognized ,# fail https://t.co/apV29xdWuM. when its removed the system says it 's inserted but unrecognized .
1146,insert tablet behave card ,When it 's inserted the tablet behaves as though there 's no card .
1147,day ago factory reset fix   day ,"it was doing this a few days ago and a factory reset fixed it , for two days ."
1148,hard reboot card resolve   understand   ask general question   policy late delivery amazon prime   ,"A hard reboot with card in or out does not resolve .. i understand , but i am asking a general question , do you or do you not have a policy about late delivery with amazon prime ? ."
1149,battery   restart phone s   ,My battery was at 64 % and I restarted my phone and now it ’s at 52 % .
1150,fuck fix ,WHAT THE FUCK FIX
1151,shit io    ,YOUR SHIT IOS 11 ! ! !
1152,cc   ,"

 cc : ."
1153,s apple music apple podcast   regardless save phone streaming ,"It ’s only done it with Apple Music and Apple Podcast , regardless if saved to phone or streaming ."
1154,s apple music apple podcast   regardless save phone streaming ,"It ’s only done it with Apple Music and Apple Podcast , regardless if saved to phone or streaming ."
1155,iphone yes software date ,iPhone 7 and yes the software is up to date .
1156,phone crash freeze minute ,The whole phone will just crash or freeze for over a minute .
1157,spazze like ghost ,It be spazzing out too like it has a ghost in it or something ..
1158,phone fucking week ,My phone been fucking up all week !
1159,,https://t.co/VHrjDRAQPk .
1160,bug fixing anymore ,Is anyone doing bug fixing anymore ?
1161,zoo iphone imac tame   ,I have a whole zoo of them on my iPhone and iMac that could be tamed ! .
1162,try step ,Tried the steps .
1163,receive error message ,Still receiving an error message .
1164,update io   get message phone restart ,Just updated to iOS 11.1 and got the message when my phone restarted .
1165,touch I d failed restart phone ,My Touch ID failed when I restarted my phone .
1166,s work ,Now it ’s not working at all .
1167,prompt system administrator password mbp maco system administrator account m aware   ,I get prompted for a system administrator password on a MBP MacOS but there is no system administrator account I ’m aware of ! !
1168,  love computer charger stop work literally reason ,https://t.co/M1DbEkDzaS. love how my computer charger just stopped working for literally no reason at all .
